"","taxonname","first_letter","mean_silt","sd_silt","n_silt","mean_c_silt","sd_c_silt","mean_f_silt","sd_f_silt","mean_ratio_ctof","sd_ratio_ctof","n_silt_psa","n_pedons"
"1","TAHOE","A",22.0423077384615,13.3212362670991,26,9.50000005769231,4.67837582680144,12.5423076538462,9.16315101821002,0.99316108535331,0.397243042537444,26,8
"2","DOME","A",20.3249998,2.66099998813273,20,8.154999895,1.9845389366564,12.17000008,1.38795573825986,0.675319750584098,0.162093092523573,20,11
"3","WITEFELS","A",8.01578943157895,3.24504119545122,19,3.57894734210526,1.44974285778003,4.43684206315789,2.30632227974977,1.03673808549532,0.661908316757948,19,8
"4","TALLAC","A",21.6388888888889,4.25967940976633,18,11.1944444444444,2.10810001275815,10.4444445,2.87917929069621,1.11382247280968,0.20269949922216,18,6
"5","CHAIX","A",22.7857142857143,2.71390587203867,21,10.0764705411765,1.24475357193825,12.1235293176471,2.48609354749813,0.869482583393789,0.226858409927522,17,10
"6","COHASSET","A",36.4124997875,3.67294222030079,16,11.6187500375,2.13985006542516,24.793750175,2.47749018908256,0.470686423689874,0.0832654898736756,16,9
"7","HOLLAND","A",27.615151430303,3.73096178647044,33,9.556249975,3.10289518143943,18.6062498,3.91603001656869,0.550305157517241,0.244186027656331,16,19
"8","CAGWIN","A",13.2947367578947,2.57670605303415,19,6.49333330666667,1.11897053031539,6.09999993333333,1.03785494582405,1.08086590164142,0.190905352569251,15,8
"9","ARGONAUT","A",42.319047752381,8.54123060046306,21,17.9857143714286,3.1483467770517,29.0357142785714,1.86159888979451,0.617516764887332,0.0833323036479699,14,11
"10","MCCARTHY","A",33.0352944823529,5.39107388323386,17,10.7000000142857,2.37130281620757,24.2285714857143,3.22047039496336,0.452996957923132,0.138795505355696,14,7
"11","AUBURN","A",48.264999955,10.4364882535847,20,22.8181818181818,7.18245325467815,30.8636367181818,8.9446378841689,0.82920744165772,0.50179635404884,11,14
"12","TOEM","A",6.39090906363636,2.91357326325659,11,3.65454544545455,1.41588392173165,2.73636363636364,1.53445280883625,1.45999239934585,0.303194857332514,11,6
"13","AHWAHNEE","A",22.8529412823529,10.7634291040036,17,11.66999988,7.11509345287265,14.7000001,4.52744703435491,0.733295809586031,0.248080802666455,10,9
"14","SITES","A",39.7357146357143,9.09799393797032,28,15.1500001,3.72774889503636,28.51000005,6.28939999072519,0.548349988178673,0.16949518464837,10,16
"15","TEMO","A",6.70999989,1.95701014991975,10,2.94000002,1.69653245913213,3.77000006,0.812472274809018,0.792592437688038,0.39593921811105,10,4
"16","JOCAL","A",52.2555554666667,12.2601099687724,9,19.2000003444444,6.86731430036521,33.0555555555556,10.1460718276966,0.639917828073524,0.319639212401722,9,5
"17","JOSEPHINE","A",47.0555555555556,6.68582635900604,9,21.4111109777778,3.36134054276633,25.6444444777778,9.27134173377537,1.03193867978858,0.630612701356259,9,4
"18","CHRISTOPHER","A",11.17499995,2.83788142055705,8,5.7000000125,1.68268502103038,5.4749999375,1.36355628596696,1.04632682010876,0.199217535618301,8,4
"19","JABU","A",17.137500175,2.58508768723896,8,7.5,1.4030577495497,9.637499925,1.63001965216026,0.787426902493582,0.137196773956605,8,4
"20","JORGE","A",34.1625001375,10.5003313606388,8,9.887499925,3.51626307046477,24.2749996,8.83770348062373,0.422709598179185,0.120036984647963,8,4
